unidade;ano;mes;setor_centro_custo;leito_dia;leito_operacional_sem_extra
CHPB;2022;1;LAR INCLUSIVO;837;837
CHPB;2022;1;LAR INCLUSIVO B;527;527
CHPB;2022;1;LAR INCLUSIVO C;589;589
CHPB;2022;1;LAR INCLUSIVO D;651;651
CHPB;2022;1;LAR INCLUSIVO E;248;248
CHPB;2022;1;LAR INCLUSIVO F;93;93
CHPB;2022;1;LAR INCLUSIVO G;186;186
CHPB;2022;1;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;465;465
CHPB;2022;1;UNIDADE DE TRATAMENTO CLINICO;68;0
CHPB;2022;1;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1240;1240
CHPB;2022;2;LAR INCLUSIVO;716;716
CHPB;2022;2;LAR INCLUSIVO B;468;468
CHPB;2022;2;LAR INCLUSIVO C;516;516
CHPB;2022;2;LAR INCLUSIVO D;576;576
CHPB;2022;2;LAR INCLUSIVO E;208;208
CHPB;2022;2;LAR INCLUSIVO F;72;72
CHPB;2022;2;LAR INCLUSIVO G;144;144
CHPB;2022;2;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;420;420
CHPB;2022;2;UNIDADE DE TRATAMENTO CLINICO;17;0
CHPB;2022;2;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1120;1120
CHPB;2022;3;LAR INCLUSIVO;527;527
CHPB;2022;3;LAR INCLUSIVO B;465;465
CHPB;2022;3;LAR INCLUSIVO C;465;465
CHPB;2022;3;LAR INCLUSIVO D;558;558
CHPB;2022;3;LAR INCLUSIVO E;124;124
CHPB;2022;3;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;465;465
CHPB;2022;3;UNIDADE DE TRATAMENTO CLINICO;2;0
CHPB;2022;3;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1240;1240
CHPB;2022;4;LAR INCLUSIVO;510;510
CHPB;2022;4;LAR INCLUSIVO B;450;450
CHPB;2022;4;LAR INCLUSIVO C;447;447
CHPB;2022;4;LAR INCLUSIVO D;540;540
CHPB;2022;4;LAR INCLUSIVO E;120;120
CHPB;2022;4;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;450;450
CHPB;2022;4;UNIDADE DE TRATAMENTO CLINICO;11;0
CHPB;2022;4;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1199;1199
CHPB;2022;5;LAR INCLUSIVO;647;647
CHPB;2022;5;LAR INCLUSIVO B;465;465
